,case_number,type,country,area,location,species_,date,mes,fatal_(y/n)_limpio,sex,country_,year,age
5803,1955.00.00.c,Unprovoked,Unknown,,,Unspecified,1955,,Unknown,F,,1991.5833443275412,25.0
5804,1955.00.00.b,Unprovoked,Unknown,,,Unspecified,Ca. 1955 ,,N,F,,1991.5833443275412,25.0
5805,1955.00.00.a,Unprovoked,Unknown,,,Unspecified,1955,,N,M,,1991.5833443275412,25.0
5806,1954.12.29,Unprovoked,Unknown,,,Unspecified,29-Dec-1954,Dec,Y,F,,1991.5833443275412,25.0
5807,1954.12.11,Unprovoked,Unknown,,,Unspecified,11-Dec-1954,Dec,Y,M,,1991.5833443275412,25.0
5808,1954.12.09,Unprovoked,Unknown,,,Unspecified,09-Dec-1954,Dec,Y,F,,1991.5833443275412,25.0
5809,1954.12.04,Unprovoked,Unknown,,,Unspecified,04-Dec-1954,Dec,N,F,,1991.5833443275412,25.0
5810,1954.11.20,Unprovoked,Unknown,,,Unspecified,20-Nov-1954,Nov,N,M,,1991.5833443275412,25.0
5811,1954.10.07,Unprovoked,Unknown,,,Unspecified,07-Oct-1954,Oct,Y,M,,1991.5833443275412,25.0
5812,1954.10.06,Unprovoked,Unknown,,,Unspecified,06-Oct-1954,Oct,N,F,,1991.5833443275412,25.0
5813,1954.10.02.b,Unprovoked,Unknown,,,Unspecified,02-Oct-1954,Oct,Unknown,M,,1991.5833443275412,25.0
5814,1954.10.02.a,Unprovoked,Unknown,,,Unspecified,02-Oct-1954,Oct,Unknown,F,,1991.5833443275412,25.0
5815,1954.09.21,Unprovoked,Unknown,,,Unspecified,21-Sep-1954,Sep,N,F,,1991.5833443275412,25.0
5816,1954.09.15,Unprovoked,Unknown,,,Unspecified,15-Sep-1954,Sep,Y,F,,1991.5833443275412,25.0
5817,1954.09.04,Unprovoked,Unknown,,,Unspecified,04-Sep-1954,Sep,Y,F,,1991.5833443275412,25.0
5818,1954.08.19,Unprovoked,Unknown,,,Unspecified,19955,,N,F,,1991.5833443275412,25.0
5819,1954.08.12.b,Unprovoked,Unknown,,,Unspecified,12-Aug-1954,Aug,N,M,,1991.5833443275412,25.0
5820,1954.08.12.a,Unprovoked,Unknown,,,Unspecified,12-Aug-1954,Aug,N,M,,1991.5833443275412,25.0
